,effort,accuracy
0,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354]","[0.2222222222222222, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
1,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765]","[0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
2,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765, 0.31176470588235294, 0.3176470588235294, 0.3235294117647059, 0.32941176470588235, 0.3352941176470588, 0.3411764705882353, 0.34705882352941175, 0.35294117647058826, 0.3588235294117647, 0.36470588235294116]","[0.2222222222222222, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
3,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765, 0.31176470588235294, 0.3176470588235294, 0.3235294117647059, 0.32941176470588235, 0.3352941176470588, 0.3411764705882353, 0.34705882352941175, 0.35294117647058826, 0.3588235294117647]","[0.2222222222222222, 0.3333333333333333, 0.3333333333333333, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
4,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765, 0.31176470588235294, 0.3176470588235294, 0.3235294117647059, 0.32941176470588235, 0.3352941176470588, 0.3411764705882353, 0.34705882352941175, 0.35294117647058826, 0.3588235294117647, 0.36470588235294116, 0.37058823529411766, 0.3764705882352941, 0.38235294117647056, 0.38823529411764707, 0.3941176470588235, 0.4, 0.40588235294117647, 0.4117647058823529, 0.4176470588235294, 0.4235294117647059, 0.4294117647058823, 0.43529411764705883, 0.4411764705882353, 0.4470588235294118, 0.45294117647058824, 0.4588235294117647, 0.4647058823529412, 0.47058823529411764, 0.4764705882352941, 0.4823529411764706, 0.48823529411764705, 0.49411764705882355, 0.5, 0.5058823529411764, 0.5117647058823529, 0.5176470588235295, 0.5235294117647059, 0.5294117647058824, 0.5352941176470588]","[0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
5,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765, 0.31176470588235294, 0.3176470588235294, 0.3235294117647059, 0.32941176470588235, 0.3352941176470588, 0.3411764705882353, 0.34705882352941175, 0.35294117647058826, 0.3588235294117647, 0.36470588235294116, 0.37058823529411766, 0.3764705882352941, 0.38235294117647056, 0.38823529411764707, 0.3941176470588235, 0.4, 0.40588235294117647, 0.4117647058823529, 0.4176470588235294, 0.4235294117647059, 0.4294117647058823, 0.43529411764705883, 0.4411764705882353, 0.4470588235294118, 0.45294117647058824, 0.4588235294117647, 0.4647058823529412, 0.47058823529411764, 0.4764705882352941, 0.4823529411764706, 0.48823529411764705, 0.49411764705882355, 0.5, 0.5058823529411764, 0.5117647058823529, 0.5176470588235295, 0.5235294117647059, 0.5294117647058824, 0.5352941176470588, 0.5411764705882353, 0.5470588235294118]","[0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 1.0]"
6,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765, 0.31176470588235294, 0.3176470588235294, 0.3235294117647059, 0.32941176470588235, 0.3352941176470588, 0.3411764705882353, 0.34705882352941175, 0.35294117647058826, 0.3588235294117647, 0.36470588235294116, 0.37058823529411766, 0.3764705882352941, 0.38235294117647056, 0.38823529411764707, 0.3941176470588235, 0.4, 0.40588235294117647, 0.4117647058823529, 0.4176470588235294, 0.4235294117647059, 0.4294117647058823, 0.43529411764705883, 0.4411764705882353, 0.4470588235294118, 0.45294117647058824, 0.4588235294117647, 0.4647058823529412, 0.47058823529411764, 0.4764705882352941, 0.4823529411764706, 0.48823529411764705, 0.49411764705882355, 0.5, 0.5058823529411764, 0.5117647058823529, 0.5176470588235295, 0.5235294117647059, 0.5294117647058824]","[0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
7,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765, 0.31176470588235294, 0.3176470588235294, 0.3235294117647059, 0.32941176470588235, 0.3352941176470588, 0.3411764705882353, 0.34705882352941175, 0.35294117647058826, 0.3588235294117647, 0.36470588235294116, 0.37058823529411766, 0.3764705882352941]","[0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
8,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765, 0.31176470588235294, 0.3176470588235294, 0.3235294117647059, 0.32941176470588235, 0.3352941176470588, 0.3411764705882353, 0.34705882352941175, 0.35294117647058826, 0.3588235294117647, 0.36470588235294116]","[0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
9,"[0.023529411764705882, 0.029411764705882353, 0.03529411764705882, 0.041176470588235294, 0.047058823529411764, 0.052941176470588235, 0.058823529411764705, 0.06470588235294118, 0.07058823529411765, 0.07647058823529412, 0.08235294117647059, 0.08823529411764706, 0.09411764705882353, 0.1, 0.10588235294117647, 0.11176470588235295, 0.11764705882352941, 0.12352941176470589, 0.12941176470588237, 0.13529411764705881, 0.1411764705882353, 0.14705882352941177, 0.15294117647058825, 0.1588235294117647, 0.16470588235294117, 0.17058823529411765, 0.17647058823529413, 0.18235294117647058, 0.18823529411764706, 0.19411764705882353, 0.2, 0.20588235294117646, 0.21176470588235294, 0.21764705882352942, 0.2235294117647059, 0.22941176470588234, 0.23529411764705882, 0.2411764705882353, 0.24705882352941178, 0.2529411764705882, 0.25882352941176473, 0.2647058823529412, 0.27058823529411763, 0.27647058823529413, 0.2823529411764706, 0.28823529411764703, 0.29411764705882354, 0.3, 0.3058823529411765, 0.31176470588235294, 0.3176470588235294, 0.3235294117647059, 0.32941176470588235, 0.3352941176470588, 0.3411764705882353, 0.34705882352941175, 0.35294117647058826, 0.3588235294117647, 0.36470588235294116, 0.37058823529411766, 0.3764705882352941, 0.38235294117647056, 0.38823529411764707, 0.3941176470588235, 0.4, 0.40588235294117647, 0.4117647058823529, 0.4176470588235294]","[0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 1.0]"
