,effort,accuracy
0,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368, 0.05172413793103448, 0.05459770114942529, 0.05747126436781609]","[0.2727272727272727, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.8181818181818182, 0.9090909090909091, 1.0]"
1,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368, 0.05172413793103448, 0.05459770114942529]","[0.2727272727272727, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 1.0]"
2,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368, 0.05172413793103448, 0.05459770114942529, 0.05747126436781609, 0.0603448275862069, 0.06321839080459771, 0.06609195402298851, 0.06896551724137931, 0.07183908045977011, 0.07471264367816093]","[0.2727272727272727, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.7272727272727273, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 1.0]"
3,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368, 0.05172413793103448, 0.05459770114942529, 0.05747126436781609, 0.0603448275862069, 0.06321839080459771, 0.06609195402298851, 0.06896551724137931]","[0.2727272727272727, 0.36363636363636365, 0.45454545454545453, 0.45454545454545453, 0.5454545454545454, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 1.0]"
4,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368]","[0.2727272727272727, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.7272727272727273, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 1.0]"
5,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368, 0.05172413793103448]","[0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.7272727272727273, 0.8181818181818182, 0.9090909090909091, 1.0]"
6,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368, 0.05172413793103448, 0.05459770114942529]","[0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.8181818181818182, 0.9090909090909091, 1.0]"
7,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368, 0.05172413793103448, 0.05459770114942529]","[0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091, 1.0]"
8,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368]","[0.2727272727272727, 0.36363636363636365, 0.45454545454545453, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 0.8181818181818182, 0.9090909090909091, 1.0]"
9,"[0.017241379310344827, 0.020114942528735632, 0.022988505747126436, 0.02586206896551724, 0.028735632183908046, 0.031609195402298854, 0.034482758620689655, 0.03735632183908046, 0.040229885057471264, 0.04310344827586207, 0.04597701149425287, 0.04885057471264368, 0.05172413793103448]","[0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.6363636363636364, 0.7272727272727273, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 1.0]"
