,effort,accuracy
0,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026, 0.03811944091486658, 0.03939008894536213, 0.04066073697585769, 0.04193138500635324, 0.043202033036848796, 0.044472681067344345, 0.045743329097839895, 0.04701397712833545, 0.048284625158831, 0.04955527318932656, 0.05082592121982211, 0.052096569250317665]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.38461538461538464, 0.46153846153846156, 0.5384615384615384, 0.5384615384615384, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 1.0]"
1,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026, 0.03811944091486658, 0.03939008894536213, 0.04066073697585769, 0.04193138500635324, 0.043202033036848796, 0.044472681067344345, 0.045743329097839895, 0.04701397712833545]","[0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.46153846153846156, 0.5384615384615384, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 1.0]"
2,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026, 0.03811944091486658, 0.03939008894536213, 0.04066073697585769, 0.04193138500635324, 0.043202033036848796, 0.044472681067344345, 0.045743329097839895, 0.04701397712833545, 0.048284625158831]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.38461538461538464, 0.38461538461538464, 0.46153846153846156, 0.5384615384615384, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0]"
3,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026, 0.03811944091486658, 0.03939008894536213, 0.04066073697585769, 0.04193138500635324, 0.043202033036848796, 0.044472681067344345, 0.045743329097839895, 0.04701397712833545, 0.048284625158831]","[0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.38461538461538464, 0.38461538461538464, 0.46153846153846156, 0.46153846153846156, 0.5384615384615384, 0.5384615384615384, 0.6153846153846154, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 1.0]"
4,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.38461538461538464, 0.38461538461538464, 0.46153846153846156, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0]"
5,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026, 0.03811944091486658, 0.03939008894536213, 0.04066073697585769, 0.04193138500635324, 0.043202033036848796, 0.044472681067344345, 0.045743329097839895, 0.04701397712833545]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.5384615384615384, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 1.0]"
6,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026, 0.03811944091486658, 0.03939008894536213, 0.04066073697585769, 0.04193138500635324, 0.043202033036848796, 0.044472681067344345, 0.045743329097839895, 0.04701397712833545, 0.048284625158831, 0.04955527318932656, 0.05082592121982211, 0.052096569250317665, 0.053367217280813214, 0.054637865311308764, 0.05590851334180432]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 1.0]"
7,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026, 0.03811944091486658, 0.03939008894536213, 0.04066073697585769, 0.04193138500635324, 0.043202033036848796, 0.044472681067344345, 0.045743329097839895, 0.04701397712833545, 0.048284625158831, 0.04955527318932656, 0.05082592121982211, 0.052096569250317665, 0.053367217280813214, 0.054637865311308764, 0.05590851334180432, 0.05717916137229987, 0.05844980940279543, 0.05972045743329098, 0.060991105463786534, 0.062261753494282084, 0.06353240152477764, 0.06480304955527319, 0.06607369758576874, 0.06734434561626429, 0.06861499364675985, 0.0698856416772554, 0.07115628970775095, 0.0724269377382465, 0.07369758576874205, 0.07496823379923762, 0.07623888182973317, 0.07750952986022872]","[0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.46153846153846156, 0.5384615384615384, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 1.0]"
8,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026, 0.03811944091486658, 0.03939008894536213, 0.04066073697585769, 0.04193138500635324, 0.043202033036848796, 0.044472681067344345, 0.045743329097839895, 0.04701397712833545]","[0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.46153846153846156, 0.5384615384615384, 0.5384615384615384, 0.6153846153846154, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 1.0]"
9,"[0.007623888182973317, 0.008894536213468869, 0.010165184243964422, 0.011435832274459974, 0.012706480304955527, 0.01397712833545108, 0.015247776365946633, 0.016518424396442185, 0.017789072426937738, 0.01905972045743329, 0.020330368487928845, 0.021601016518424398, 0.022871664548919948, 0.0241423125794155, 0.025412960609911054, 0.026683608640406607, 0.02795425667090216, 0.029224904701397714, 0.030495552731893267, 0.03176620076238882, 0.03303684879288437, 0.03430749682337993, 0.035578144853875476, 0.036848792884371026]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.46153846153846156, 0.5384615384615384, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0]"
